filename,edge_case_label,golden_room_type,ai_room_type,room_type_ok,is_a_room_match,golden_condition,ai_condition,cond_ok,golden_objects,ai_objects,ai_confidence,conf_bucket,overconfident_wrong,latency_sec,ai_description
img01.jpg,Normal,living room,living room,True,True,furnished,furnished,True,sofa; coffee table; floor lamp; windows,sectional sofa; coffee table; floor lamp; large windows; wall art,95.0,85-100,False,2.44,A modern living room with a large sectional sofa and floor-to-ceiling windows overlooking a city view.
img02.jpg,Normal,living room,dining room,False,True,furnished,furnished,True,dining table; sofa; coffee table; pendant lights; windows; plant,dining table; dining chairs; pendant lights; plant; sofa; coffee table; armchair; lamp; rug; artwork,95.0,85-100,True,2.84,"A well-lit dining and living area with a modern aesthetic, featuring a wooden dining set and a comfortable seating area."
img03.jpg,Normal,living room,living room,True,True,furnished,furnished,True,armchair; cabinet; mirror; plants; lamp; ottoman,armchair; ottoman; console table; mirror; plants; floor lamp; rug,95.0,85-100,False,2.73,"A stylish living room with a vibrant orange armchair, a console table, and lush plants."
img04.jpg,Normal,bedroom,bedroom,True,True,furnished,furnished,True,bed; desk; stools; rug; curtains,bed; nightstand; ottoman; rug; curtains; chandelier; table lamp; artwork,95.0,85-100,False,3.7,"A modern bedroom with a plush white bed, striking artwork, and city views through large windows."
img05.jpg,Normal,bedroom,bedroom,True,True,staged,furnished,False,lamp; bed; nightstand,bed; nightstand; table lamp; pillows,95.0,85-100,False,2.4,"A cozy bedroom with a bed, nightstand, and a modern lamp."
img06.jpg,Normal,bedroom,bedroom,True,True,furnished,furnished,True,bed; desk; stools; rug; curtains; lamp; nightstand,bed; nightstand; armchair; rug; window; curtains; lamp; picture frame; table,95.0,85-100,False,3.16,A well-lit bedroom with a large window overlooking trees.
img07.jpg,Normal,kitchen,kitchen,True,True,furnished,furnished,True,windows; cabinets; plants; pots,cabinets; sink; faucet; oven; dishwasher; range hood; shelves; rug; light fixture,98.0,85-100,False,2.15,"A modern kitchen with dark gray cabinets, white subway tile backsplash, and marble countertops."
img08.jpg,Normal,kitchen,kitchen,True,True,furnished,furnished,True,chair; windows; plants; cabinets; stove; sink,refrigerator; kitchen island; bar stool; sink; faucet; stove; oven; cabinet; vase; plant,95.0,85-100,False,3.38,A modern kitchen with light wood floors and a large window overlooking lush greenery.
img09.jpg,Normal,kitchen,kitchen,True,True,furnished,furnished,True,pots; dining table; dining chairs; plants; stove,kitchen island; stools; refrigerator; pots and pans; hanging light fixture; rug; cabinets; countertops; stove; shelves; books; lamp,95.0,85-100,False,3.38,A cozy and rustic kitchen with a large wooden island and hanging pots.
img10.jpg,Normal,bathroom,bathroom,True,True,semi-furnished,furnished,False,towels; bathtub; sink; plants; taps,bathtub;  sink;  mirror;  towel rack;  plant,95.0,85-100,False,2.28,A modern bathroom with a freestanding bathtub and a vessel sink.
img11.jpg,Normal,bathroom,bathroom,True,True,furnished,furnished,True,toilet; stool; window; plant; sink; mirror,toilet; sink; mirror; cabinet; plants,95.0,85-100,False,4.75,A bright and clean bathroom with a checkered floor and several potted plants.
img12.jpg,Normal,bathroom,bathroom,True,True,furnished,furnished,True,bathtub; plant; toilet; sink; mirror; shower; window,bathtub;  shower;  toilet;  vanity;  mirror;  plant,95.0,85-100,False,6.09,"A modern bathroom with a freestanding bathtub, a walk-in shower, and a wooden vanity, bathed in natural light."
img13.jpg,Normal,dining room,dining room,True,True,furnished,furnished,True,dining table; dining chairs; windows; rug; plants,dining table; dining chairs; pendant lights; wreath; artwork,95.0,85-100,False,4.01,"A rustic dining room set for a holiday meal, featuring a wooden table, chairs, and festive decorations."
img14.jpg,Normal,dining room,dining room,True,True,furnished,furnished,True,dining table; dining chairs; windows; plants; door; wall hanging,dining table; dining chairs; buffet; lamp; vase; record player; speaker; door,95.0,85-100,False,1.59,A modern dining room with a black dining set and large windows overlooking a forest.
img15.jpg,Normal,dining room,dining room,True,True,furnished,furnished,True,dining table; dining chairs; windows; plants; paintings; lamp,dining table; dining chairs; chandelier; buffet; rug; artwork,95.0,85-100,False,4.19,"A beautifully decorated dining room with a large wooden table, chairs, and a floral garland draped around the windows."
img16.jpg,Normal,home office,home office,True,True,furnished,furnished,True,monitor; chairs; table; window; curtain; plants; lamp,desk; computer; chair; plant; rug; wall art; chair; window; curtains,95.0,85-100,False,2.54,"A modern home office with a desk, computer, and comfortable seating, decorated with plants and wall art."
img17.jpg,Normal,home office,home office,True,True,furnished,furnished,True,lamp; laptop; window; plants,desk; laptop; lamp; plant; phone; earbuds; camera lens; book,95.0,85-100,False,2.87,A cozy home office setup with a live-edge desk overlooking a winter forest.
img18.jpg,Normal,home office,home office,True,True,furnished,furnished,True,table; chair; lamp; plant,desk; chair; computer; lamp; plant,95.0,85-100,False,1.44,"A clean and modern home office setup with a desk, computer, and chair."
img19.jpg,Normal,balcony,balcony,True,True,furnished,furnished,True,plants; sofa; table; sky,sectional sofa; coffee table; string lights; plants; fire pit,95.0,85-100,False,3.96,"A modern balcony with a sectional sofa, coffee table, and string lights overlooking a city view at dusk."
img20.jpg,Normal,balcony,none,False,False,furnished,unfurnished,False,door; plants; chair; sky,,100.0,85-100,True,3.08,An exterior view of a building with balconies and windows.
